Instituição;Unidade;Escopo da Inconsistência;Situação da Inconsistência;Total de Inconsistências
Centro de Ensino e Desenvolvimento Agrário da UFV;Centro de Ensino e Desenvolvimento Agrário da UFV;Ciclo;Alterado RA;112
Centro de Ensino e Desenvolvimento Agrário da UFV;Centro de Ensino e Desenvolvimento Agrário da UFV;Ciclo;Inconsistente RA;32
Centro de Ensino e Desenvolvimento Agrário da UFV;Centro de Ensino e Desenvolvimento Agrário da UFV;Ciclo;Validado PI;26
Centro de Ensino e Desenvolvimento Agrário da UFV;Centro de Ensino e Desenvolvimento Agrário da UFV;Curso;Validado PI;11
Centro de Ensino e Desenvolvimento Agrário da UFV;Centro de Ensino e Desenvolvimento Agrário da UFV;Matrícula;Alterado RA;2.828
Centro de Ensino e Desenvolvimento Agrário da UFV;Centro de Ensino e Desenvolvimento Agrário da UFV;Matrícula;Inconsistente RA;1.922
Centro de Formação Especial Em Saúde da UFTM;Centro de Formação Especial em Saúde da UFTM;Ciclo;Validado PI;95
Centro de Formação Especial Em Saúde da UFTM;Centro de Formação Especial em Saúde da UFTM;Curso;Validado PI;8
Centro de Formação Especial Em Saúde da UFTM;Centro de Formação Especial em Saúde da UFTM;Matrícula;Alterado RA;1.148
Centro de Formação Especial Em Saúde da UFTM;Centro de Formação Especial em Saúde da UFTM;Matrícula;Inconsistente RA;276
Centro de Formação Especial Em Saúde da UFTM;Centro de Formação Especial em Saúde da UFTM;Matrícula;Validado PI;306
Centro de Formação Especial Em Saúde da UFTM;Centro de Formação Especial em Saúde da UFTM;Matrícula;Validado RA;100
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Angra dos Reis;Ciclo;Validado RA;148
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Angra dos Reis;Curso;Validado RA;4
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Angra dos Reis;Matrícula;Alterado RA;2.144
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Angra dos Reis;Matrícula;Inconsistente RA;787
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Angra dos Reis;Matrícula;Validado RA;109
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Itaguaí;Ciclo;Alterado RA;12
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Itaguaí;Ciclo;Inconsistente RA;5
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Itaguaí;Ciclo;Validado RA;99
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Itaguaí;Curso;Validado RA;4
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Itaguaí;Matrícula;Alterado RA;3.860
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Itaguaí;Matrícula;Inconsistente RA;1.309
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Maria da Graça;Ciclo;Alterado RA;77
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Maria da Graça;Ciclo;Inconsistente RA;33
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Maria da Graça;Curso;Alterado RA;5
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Maria da Graça;Matrícula;Alterado RA;1.355
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Maria da Graça;Matrícula;Inconsistente RA;1.167
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Nova Friburgo;Ciclo;Alterado RA;175
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Nova Friburgo;Ciclo;Inconsistente RA;34
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Nova Friburgo;Curso;Validado RA;6
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Nova Friburgo;Matrícula;Alterado RA;2.144
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Nova Friburgo;Matrícula;Inconsistente RA;1.509
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Nova Iguaçu;Ciclo;Validado RA;272
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Nova Iguaçu;Curso;Validado RA;9
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Nova Iguaçu;Matrícula;Alterado RA;6.013
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Nova Iguaçu;Matrícula;Inconsistente RA;1.830
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Petrópolis;Ciclo;Alterado RA;43
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Petrópolis;Ciclo;Validado RA;144
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Petrópolis;Curso;Validado RA;5
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Petrópolis;Matrícula;Alterado RA;574
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Petrópolis;Matrícula;Inconsistente RA;529
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Petrópolis;Matrícula;Validado RA;2.254
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Valença;Ciclo;Validado RA;122
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Valença;Curso;Validado RA;4
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Valença;Matrícula;Alterado RA;1.806
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Valença;Matrícula;Inconsistente RA;771
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Unidade Maracanã;Ciclo;Validado RA;1.607
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Unidade Maracanã;Curso;Validado RA;47
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Unidade Maracanã;Matrícula;Alterado RA;39.917
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Unidade Maracanã;Matrícula;Inconsistente RA;17.207
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Araxá;Ciclo;Alterado RA;242
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Araxá;Ciclo;Inconsistente RA;7
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Araxá;Curso;Validado RA;8
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Araxá;Matrícula;Alterado RA;2.749
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Araxá;Matrícula;Inconsistente RA;1.659
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Contagem;Ciclo;Validado RA;50
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Contagem;Curso;Validado RA;4
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Contagem;Matrícula;Alterado RA;1.097
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Contagem;Matrícula;Inconsistente RA;770
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Curvelo;Ciclo;Alterado RA;74
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Curvelo;Ciclo;Inconsistente RA;20
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Curvelo;Curso;Alterado RA;6
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Curvelo;Matrícula;Alterado RA;1.605
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Curvelo;Matrícula;Inconsistente RA;1.202
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Divinópolis;Ciclo;Alterado RA;71
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Divinópolis;Ciclo;Inconsistente RA;32
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Divinópolis;Ciclo;Validado RA;55
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Divinópolis;Curso;Alterado RA;7
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Divinópolis;Curso;Validado RA;2
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Divinópolis;Matrícula;Alterado RA;1.810
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Divinópolis;Matrícula;Inconsistente RA;1.521
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Divinópolis;Matrícula;Validado RA;1.351
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Leopoldina;Ciclo;Inconsistente PI;3
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Leopoldina;Ciclo;Validado RA;188
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Leopoldina;Curso;Validado PI;7
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Leopoldina;Matrícula;Alterado RA;4.537
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Leopoldina;Matrícula;Inconsistente RA;72
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Nepomuceno;Ciclo;Validado RA;142
